ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C1608;RALN;ND;CD;0,34;0;0;0;0;0;0;0
C1608;RALN;ND;CC;0;0,33;0;0;0;0;0;0
C8246;RALN;ND;CC;1;2;0;0;0;0;0;0
C6056;RALN;ND;CD;0;0,47;0;0;0;0;0;0
C7547;RALN;ND;CD;0,5;0;0;0;0;0;0;0
C1970;RALN;ND;CB;0;0;0;0;0,33;0;0;0
C5045;RALN;ND;CA;0;0;0;0;0;0;0;0,04
C4206;REFR;SC;CD;0,07;0,18;0;0;0;0;0;0
C4206;REFR;SC;CC;0;0;0;0;0,12;0;0;0
C7963;RALN;ND;CD;2,08;0;0;0;0;0;0;0
C7963;RALN;ND;CC;0;0;0;0;1;0;0;0
C6127;RALN;ND;CA;0;0;0;0;0;0;0;0,17
C1474;RALN;ND;CC;1;0;0;0;0;0;0;0
C4972;RALN;ND;CB;0;0;0;0;0;0;0,34;0
C8227;RALN;ND;CC;0,21;0;0;0;0;0;0;0
C4275;RALN;ND;CC;0;1;0;0;0;0;0;0
C4275;RALN;ND;CB;0;0;0;0;0;0;0,18;0
C5964;RALN;ND;CC;0;0,5;0;0;0;0;0;0
C5964;RALN;ND;CD;1;0;0;0;0;0;0;0
C3392;RALN;ND;CB;0;0,22;0;0;0;0;0;0
C3392;RALN;ND;CD;0;0,53;0;0;0;0;0;0
C3392;RALN;ND;CC;0;5,21;0;0;0;0;0;0
C5113;RALN;ND;CC;0;0;0;0;0;1,17;0,25;0
C7577;RALN;ND;CC;1;1;0;0;1;0;0;0
C3892;RALN;ND;CA;0;0;0;0;0;0;3,88;3,88
C12230;RALN;ND;CD;0;0,04;0;0;0;0;0;0
C12230;RALN;ND;CB;0,19;0;0;0,62;0;0;0;0
C8079;RALN;ND;CB;0;0;0;0;0;0;0,1;0
C8249;RALN;ND;CD;0;0,87;0;0;0;0;0;0
C8249;RALN;ND;CC;0;1,18;0;0;0;0;0;0
C5936;RALN;ND;CB;0;0;0;0;0,21;0;0;0
C5936;RALN;ND;CC;0;0;0;0;0;0,4;0;0
OL12978;EPNE;ME;OP;0;0;0;0;0;1,83;0;0
LS14132;LS13;NF;LI;0;0;0;0;0;1,55;0;0
CS13950;RALN;ND;CD;1;0;0;0;0;0;0;0
C6274;REVA;NF;CB;0;0;0;0;0;1;0;0
OR13223;EPNE;ME;OP;0;0;0;0;0,33;1,63;0;0
OR13223;EPNE;ME;AT;0;0;0,75;0,75;0;0;0;0
OL13938;EPNE;ME;AT;0,75;0,66;0;0;0;0;0;0
C5945;RALN;ND;PC;0;0,34;0;0;0;0;0;0
C5945;RALN;ND;CC;0,58;0;0;0;0;0;0;0
C487;RALN;ND;CD;0;0,17;0;0;0;0;0;0
C487;RALN;ND;CB;0,11;1,29;0;0;0;0;0;0
C7926;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C4152;RALN;ND;CD;1;0;0;0;0;0;0;0
C7164;RALN;ND;CC;0;0;0,32;0,28;0;0;0;0
C7164;RALN;ND;CD;0;0;0;1;0;0;0;0
P9045;RALN;ND;CC;0;0;0;0;1,5;0;0;0
C7749;RALN;ND;CB;0,97;2,54;0;0;0;1,36;0;0
C7749;RALN;ND;CD;0;0,38;0;0;0;0;0;0
C4945;RALN;ND;CD;0;0;0;0;0;0,5;0;0
C4945;RALN;ND;CB;0;0;0;0;0;6,04;0;0
C7912;RALN;ND;CC;0;0,42;0;0;0;0;0;0
C572;REFR;SC;CB;0;0;0;0;0;1;0;0
C6235;RALN;ND;CC;0;0;0;0;1;0;0;0
UC9887;RALN;ND;CB;0;0;0;0;0,44;0,7;0;0
C6691;RALN;ND;CC;0,24;0;0;0;0;0;0;0
C6691;RALN;ND;CB;0,58;0;0;0;0;0;0;0
C6872;RALN;ND;CB;0;0;0;0;0;0,17;0;0
C5569;RALN;ND;CC;0,25;0;0;0;0;0;0;0
C2317;RALN;ND;CB;0;0;0;0;1;0;0;0
C2317;RALN;ND;CC;0,52;0;0;0;0;0;0;0
