ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C4698;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CS10896;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4284;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
UC10013;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC10912;RALN;CD;049000;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
C8259;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C7547;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C4352;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1959;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6190;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C2802;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UC12285;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C1743;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C765;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3652;RALN;CD;049000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C638;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1310;RALN;CD;049000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2598;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4451;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CM9102;RALN;CD;049000;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
UC12319;RALN;CD;049000;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
C2433;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4462;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC12247;RALN;CD;049000;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
C7945;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C12917;RALN;CD;049000;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
C5567;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C3333;RALN;CD;049000;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UC10777;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1768;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2449;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4723;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
R9193;RALN;CD;049000;2;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0
C5630;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4527;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C4701;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P9097;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
